Offer Title,Image,Description,Link,Eligible Credit Cards,Eligible Debit Cards,Non-Payments-Offers
"Up to Rs. 4,500",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Royale Business Debit Card,
"Up to Rs. 4,500",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Visa Business Gold Debit Card,
"Up to Rs. 4,500",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Royale Debit Card,
"Up to Rs. 4,500",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Visa Gold Debit Card,
"Up to Rs. 4,500",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Platinum Debit Card,
"Up to Rs. 4,500",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Royale World Debit Card,
"Up to Rs. 4,500",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,https://www.yatra.com/offer/details/au-debit-card-offer,,AU RuPay Platinum Debit Card,
"Up to Rs. 4,500",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,https://www.yatra.com/offer/details/au-debit-card-offer,,AU RuPay Classic Debit Card,
"Up to Rs. 4,500",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Visa Business Platinum Debit Card,
"Up to Rs. 4,500",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Mastercard Platinum Debit Card,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Indianoil Kotak Credit Card,,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak 811 Credit Card,,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak 811 Dream Different Credit Card,,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak IndiGo 6E Rewards Credit Card,,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak IndiGo 6E Rewards XL Credit Card,,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak League Platinum Credit Card,,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak Mojo Platinum Credit Card,,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak Urbane Gold Credit Card,,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak White Credit Card,,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak Zen Signature Credit Card,,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Myntra Kotak Credit Card,,
"Flat 10% OFF (Up to Rs. 5,000)",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,KOTAKEMI,https://www.yatra.com/offer/details/kotak-bank-emi-offers,PVR Inox Kotak Credit Card,,
"Up to Rs. 10,000 OFF",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Aug/f289b864cb9544be5623a4d4e35cdf71.jpg,YATRAHSBC,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Live+ Credit Card,,
"Up to Rs. 10,000 OFF",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Aug/f289b864cb9544be5623a4d4e35cdf71.jpg,YATRAHSBC,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Premier Mastercard Credit Card,,
"Up to Rs. 10,000 OFF",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Aug/f289b864cb9544be5623a4d4e35cdf71.jpg,YATRAHSBC,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Taj Credit Card,,
"Up to Rs. 10,000 OFF",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Aug/f289b864cb9544be5623a4d4e35cdf71.jpg,YATRAHSBC,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC TravelOne Credit Card,,
"Up to Rs. 10,000 OFF",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Aug/f289b864cb9544be5623a4d4e35cdf71.jpg,YATRAHSBC,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Visa Platinum Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,IRCTC RBL Bank Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,IndianOil RBL Bank Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,IndianOil RBL Bank RuPay Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,IndianOil RBL Bank XTRA RuPay Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,Indianoil RBL Bank Xtra Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Bankbazaar Savemax Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Bankbazaar Savemax Pro Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Binge Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Binge MasterCard Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Cookie Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank DMI Finance Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank EasySaver Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank EasySaver Visa Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Icon Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Insignia Preferred Banking Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Lazy Pay Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Mocash Credit Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank MoneyTap Black Card,,
"Up to Rs. 10,000 OFF*",https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/d6440480bf128b5ac80477ee19c72869.jpg,YTRRBL,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank MoneyTap Credit Card,,
