Offer,Description,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
HSBC Offer,"10% Instant Discount On HSBC Credit Card on min spend of Rs. 4,000. T&C (Applicable only on selected Products)",,,HSBC Live+ Credit Card,,,,
HSBC Offer,"10% Instant Discount On HSBC Credit Card on min spend of Rs. 4,000. T&C (Applicable only on selected Products)",,,HSBC Visa Platinum Credit Card,,,,
HSBC Offer,"10% Instant Discount On HSBC Credit Card on min spend of Rs. 4,000. T&C (Applicable only on selected Products)",,,HSBC Taj Credit Card,,,,
HSBC Offer,"10% Instant Discount On HSBC Credit Card on min spend of Rs. 4,000. T&C (Applicable only on selected Products)",,,HSBC TravelOne Credit Card,,,,
HSBC Offer,"10% Instant Discount On HSBC Credit Card on min spend of Rs. 4,000. T&C (Applicable only on selected Products)",,,HSBC Premier Mastercard Credit Card,,,,
Bajaj UPI,Flat Rs. 50 Cashback On BAJAJ UPI transactions on a min spend of Rs. 999.,,,,,,Bajaj UPI,
Cred UPI,Assured Cashback upto Rs. 100 On CRED UPI transaction on min spend of Rs. 499,,,,,,Cred UPI,
Pop UPI 2,Flat Cashback Rs. 50 On POP UPI transaction on min spend of Rs. 999,,,,,,Pop UPI,
Pop UPI,Get Flat Cashback Rs. 100 on your first-ever transaction using Rupay CC via POP UPI transaction on min spend of Rs. 499,,,,,,Pop UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,6E Rewards XL IndiGo HDFC Bank Credit Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Airtel Axis Bank Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Apollo SBI Card Select (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Assam Rifles The Sentinel Bobcard (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,AU Bank Instapay Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Axis Bank Neo Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Axis KWIK Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Bank of India Rupay Platinum Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Bank of India SwaDhan Rupay Platinum Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,BPCL SBI Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Canara Bank Rupay Classic Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Canara Bank Rupay Platinum Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Canara Bank Rupay Platinum Secured Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Canara Bank Rupay Select Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Canara Bank Rupay Select Secured Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,CMA One Bobcard (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,CSC Small Business MoneyBack Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Fed Starbiz Rupay Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Federal Bank Rupay Signet Credit Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Federal Bank Scapia Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Federal Bank Wave Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Fibe Axis Bank Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HDFC Bank Biz First Credit Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HDFC Bank Biz Grow Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HDFC Bank Biz Power Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HDFC Bank UPI Rupay Biz Credit Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HDFC Bank UPI RuPay Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HDFC Bharat Credit Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HDFC Pixel Go Credit Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HDFC Pixel Play Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HPCL Energie Bobcard (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,ICAI Exclusive Bobcard (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,ICICI Bank HPCL Super Saver Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,ICICI Bank Sapphiro Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,ICSI Diamond Bobcard (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IDFC First Earn RuPay Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IDFC First Power Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indian Army Yoddha Bobcard (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indian Coast Guard Rakshamah Bank of Baroda (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indian Navy Varunah Premium Bobcard (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indian Overseas Bank Classic Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IndianOil Axis Bank Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indianoil Kotak Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indianoil RBL Bank Xtra Credit Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IndusInd Bank Platinum RuPay Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indusind Samman RuPay Credit Card (Rupay),,,Cred UPI,
