Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
EazyDiner Axis Bank Premium Credit Cards,"30% Off upto Rs.1000. Once per month. Valid on Axis Bank Selected Cards. Min. bill of Rs.3000. Applicable on: Axis Bank Olympus Credit, Axis Bank Magnus Burgundy Credit Card, Axis Bank Reserve Credit Card, Burgundy Private Credit Card and Burgundy Private Debit card only. This coupon cannot be clubbed with other coupons. The code cannot be redeemed partially. This coupon offers 30% Off up to Rs.1000.",,,,Axis Bank Olympus Credit Card,Axis Bank Burgundy Private Debit Card,,,
EazyDiner Axis Bank Premium Credit Cards,"30% Off upto Rs.1000. Once per month. Valid on Axis Bank Selected Cards. Min. bill of Rs.3000. Applicable on: Axis Bank Olympus Credit, Axis Bank Magnus Burgundy Credit Card, Axis Bank Reserve Credit Card, Burgundy Private Credit Card and Burgundy Private Debit card only. This coupon cannot be clubbed with other coupons. The code cannot be redeemed partially. This coupon offers 30% Off up to Rs.1000.",,,,Axis Bank Magnus Credit Card,Axis Bank Burgundy Private Debit Card,,,
EazyDiner Axis Bank Premium Credit Cards,"30% Off upto Rs.1000. Once per month. Valid on Axis Bank Selected Cards. Min. bill of Rs.3000. Applicable on: Axis Bank Olympus Credit, Axis Bank Magnus Burgundy Credit Card, Axis Bank Reserve Credit Card, Burgundy Private Credit Card and Burgundy Private Debit card only. This coupon cannot be clubbed with other coupons. The code cannot be redeemed partially. This coupon offers 30% Off up to Rs.1000.",,,,Axis Bank Reserve Credit Card,Axis Bank Burgundy Private Debit Card,,,
EazyDiner Axis Bank Premium Credit Cards,"30% Off upto Rs.1000. Once per month. Valid on Axis Bank Selected Cards. Min. bill of Rs.3000. Applicable on: Axis Bank Olympus Credit, Axis Bank Magnus Burgundy Credit Card, Axis Bank Reserve Credit Card, Burgundy Private Credit Card and Burgundy Private Debit card only. This coupon cannot be clubbed with other coupons. The code cannot be redeemed partially. This coupon offers 30% Off up to Rs.1000.",,,,Axis Bank Burgundy Private Credit Card,Axis Bank Burgundy Private Debit Card,,,
EazyDiner Axis Bank Burgundy Debit Card,25% Off upto Rs.800. Once per month. Valid on Axis Bank Selected Cards. Min. bill of Rs.2500. Applicable on: Burgundy Debit Card. This coupon cannot be clubbed with other coupons. The code cannot be redeemed partially. This coupon offers 25% Off up to Rs.800.,,,,,Axis Bank Burgundy Private Debit Card,,,
EazyDiner South Indian Bank Super Premium Debit Cards,10% Off upto Rs.750. Once per card per month. Valid on South Indian Bank Super Premium Debit Cards. Min. bill of Rs.2500. This coupon cannot be clubbed with other coupons. The code cannot be redeemed partially. This coupon offers 10% Off up to Rs.750.,,,,,SIB Rupay Kisan Debit Card,,,
EazyDiner South Indian Bank Super Premium Debit Cards,10% Off upto Rs.750. Once per card per month. Valid on South Indian Bank Super Premium Debit Cards. Min. bill of Rs.2500. This coupon cannot be clubbed with other coupons. The code cannot be redeemed partially. This coupon offers 10% Off up to Rs.750.,,,,,SIB Rupay Mudra Debit Card,,,
EazyDiner South Indian Bank Super Premium Debit Cards,10% Off upto Rs.750. Once per card per month. Valid on South Indian Bank Super Premium Debit Cards. Min. bill of Rs.2500. This coupon cannot be clubbed with other coupons. The code cannot be redeemed partially. This coupon offers 10% Off up to Rs.750.,,,,,SIB Rupay PMJDY Debit Card,,,
EazyDiner South Indian Bank Super Premium Debit Cards,10% Off upto Rs.750. Once per card per month. Valid on South Indian Bank Super Premium Debit Cards. Min. bill of Rs.2500. This coupon cannot be clubbed with other coupons. The code cannot be redeemed partially. This coupon offers 10% Off up to Rs.750.,,,,,SIB RuPay Classic NCMC Debit Card,,,
EazyDiner South Indian Bank Super Premium Debit Cards,10% Off upto Rs.750. Once per card per month. Valid on South Indian Bank Super Premium Debit Cards. Min. bill of Rs.2500. This coupon cannot be clubbed with other coupons. The code cannot be redeemed partially. This coupon offers 10% Off up to Rs.750.,,,,,SIB Visa Classic Debit Card,,,
