Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
KOTAKSOLITAIRE,"20% OFF up to Rs.5000 on Solitaire Credit Card. Offer applicable twice per card per calendar month; Offer applicable only on final billable amount net of other discounts (excluding convenience fee and tips); Restaurants applicable under this program can be found on the app and are subject to change from time to time; Offer valid on all days; Other T&Cs may apply.	",KOTAKSOLITAIRE,,https://www.zomato.com,Kotak Solitaire Credit Card,,,,
AMPLIFI20,"20% OFF up to Rs.1200 on Fi Federal Credit Cards. Offer valid on AmpliFi Fi Federal Credit Cards only; Offer valid on bill value of Rs.2500 and above; Offer applicable once per card during the offer period; Offer applicable only on final billable amount net of other discount (excluding convenience fee and tips); Restaurants applicable under this program can be found on the app and are subject to change from time to time; Offer valid all days.	",AMPLIFI20,,https://www.zomato.com,Federal Bank AmpliFi Credit Card,,,,
HSBCTAJDINING,12% OFF up to Rs.1000 on HSBC Taj Credit Card.Offer valid once per customer during the offer period; Offer applicable only on cards with BIN 512042; Offer applicable only on final billable amount net of other discounts (excluding tips); Offer valid on all days; Offer not valid on HSBC Cashback / Live+ Credit Card variant; Restaurants applicable under this program can be found on the app and are subject to change from time to time; Other T&Cs may apply.        ,HSBCTAJDINING,,https://www.zomato.com,HSBC Taj Credit Card,,,,
HSBCPRIVE,"12% OFF up to Rs.1000 on HSBC Prive Credit Cards.Offer valid once per customer during the offer period; Offer applicable only on final billable amount net of other discounts (excluding tips); Restaurants applicable under this program can be found on the app and are subject to change from time to time; Offer only valid for HSBC Taj Credit Card users; Offer valid on all days; Other T&Cs may apply.	",HSBCPRIVE,,https://www.zomato.com,HSBC Prive Credit Card,,,,
BANDHANBANK15,15% OFF up to Rs.750 on Bandhan Bank Cards.       ,BANDHANBANK15,,https://www.zomato.com,Bandhan Bank One Credit Card,,,,
BANDHANBANK15,15% OFF up to Rs.750 on Bandhan Bank Cards.       ,BANDHANBANK15,,https://www.zomato.com,Bandhan Bank Plus Credit Card,,,,
BANDHANBANK15,15% OFF up to Rs.750 on Bandhan Bank Cards.       ,BANDHANBANK15,,https://www.zomato.com,Bandhan Bank Xclusive Credit Card,,,,
KOTAKDINE811,20% OFF up to Rs.750 on Kotak 811 Infinity Metal Debit Card. Offer valid on HSBC PrivRs. dRs.  Credit Card; Offer valid once per customer during the offer period; Offer applicable only on final billable amount net of other discounts (excluding tips); Restaurants applicable under this program can be found on the app and are subject to change from time to time; Offer valid on all days; Other T&Cs may apply.,KOTAKDINE811,,https://www.zomato.com,,Kotak 811 Infinite Metal Debit Card,,,
HSBCTODINING,"10% OFF up to Rs.1000 on HSBC TravelOne Credit Card. Offer valid once per user during the offer period; Offer applicable only on final billable amount net of other discounts (excluding tips); Restaurants applicable under this program can be found on the app and are subject to change from time to time; Other T&Cs may apply.	",HSBCTODINING,,https://www.zomato.com,HSBC TravelOne Credit Card,,,,
YESTREAT,"Flat Rs.500 OFF on YES BANK Credit Cards. Offer valid once per card during the calendar month; Offer applicable only on final billable amount net of other discounts (excluding tips); Restaurants applicable under this program can be found on Zomato & District app and are subject to change from time to time; Offer is valid on all days; Other T&Cs may apply.	",YESTREAT,,https://www.zomato.com,YES Bank Marquee Credit Card,,,,
