Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Get 5% back with Amazon Pay ICICI Bank credit card for Prime members. 3% back for others. Not applicable on EMI orders and Amazon business transactions.,Select Amazon Pay ICICI Bank Credit Card as payment at checkout; no promo code required. Cashback is issued as Amazon Pay balance at end of current billing cycle. Prime members: 5% back on eligible Amazon.in purchases; non-Prime: 3% back. Exclusions include EMI orders and Amazon Business transactions (as stated).,,,amazon.in,Amazon Pay ICICI Bank Credit Card,,,,
Flat INR 500 Instant Discount on HDFC Bank Credit Card 6 month and above EMI Trxn. Min purchase value INR 7500,"Offer period: 1 Feb28 Feb 2026. Flat instant discount on HDFC Bank Credit Card EMI (6 months+) on eligible categories, minimum transaction 7,500; maximum total discount per card up to 5,250 during offer period. Not valid on COD, NetBanking, or if Amazon Pay Balance is used for part payment.",,,amazon.in,HDFC Pixel Play Credit Card,,,,
Flat INR 500 Instant Discount on HDFC Bank Credit Card 6 month and above EMI Trxn. Min purchase value INR 7500,"Offer period: 1 Feb28 Feb 2026. Flat instant discount on HDFC Bank Credit Card EMI (6 months+) on eligible categories, minimum transaction 7,500; maximum total discount per card up to 5,250 during offer period. Not valid on COD, NetBanking, or if Amazon Pay Balance is used for part payment.",,,amazon.in,PhonePe HDFC Bank Ultimo Credit Card,,,,
Flat INR 500 Instant Discount on HDFC Bank Credit Card 6 month and above EMI Trxn. Min purchase value INR 7500,"Offer period: 1 Feb28 Feb 2026. Flat instant discount on HDFC Bank Credit Card EMI (6 months+) on eligible categories, minimum transaction 7,500; maximum total discount per card up to 5,250 during offer period. Not valid on COD, NetBanking, or if Amazon Pay Balance is used for part payment.",,,amazon.in,Paytm HDFC Bank Select Business Credit Card,,,,
Flat INR 500 Instant Discount on HDFC Bank Credit Card 6 month and above EMI Trxn. Min purchase value INR 7500,"Offer period: 1 Feb28 Feb 2026. Flat instant discount on HDFC Bank Credit Card EMI (6 months+) on eligible categories, minimum transaction 7,500; maximum total discount per card up to 5,250 during offer period. Not valid on COD, NetBanking, or if Amazon Pay Balance is used for part payment.",,,amazon.in,HDFC Millennia Credit Card,,,,
Flat INR 500 Instant Discount on HDFC Bank Credit Card 6 month and above EMI Trxn. Min purchase value INR 7500,"Offer period: 1 Feb28 Feb 2026. Flat instant discount on HDFC Bank Credit Card EMI (6 months+) on eligible categories, minimum transaction 7,500; maximum total discount per card up to 5,250 during offer period. Not valid on COD, NetBanking, or if Amazon Pay Balance is used for part payment.",,,amazon.in,IRCTC HDFC Bank Credit Card,,,,
Flat INR 500 Instant Discount on HDFC Bank Credit Card 6 month and above EMI Trxn. Min purchase value INR 7500,"Offer period: 1 Feb28 Feb 2026. Flat instant discount on HDFC Bank Credit Card EMI (6 months+) on eligible categories, minimum transaction 7,500; maximum total discount per card up to 5,250 during offer period. Not valid on COD, NetBanking, or if Amazon Pay Balance is used for part payment.",,,amazon.in,Tata Neu Infinity HDFC Bank RuPay Credit Card,,,,
Flat INR 500 Instant Discount on HDFC Bank Credit Card 6 month and above EMI Trxn. Min purchase value INR 7500,"Offer period: 1 Feb28 Feb 2026. Flat instant discount on HDFC Bank Credit Card EMI (6 months+) on eligible categories, minimum transaction 7,500; maximum total discount per card up to 5,250 during offer period. Not valid on COD, NetBanking, or if Amazon Pay Balance is used for part payment.",,,amazon.in,Tata Neu Infinity HDFC Bank Credit Card,,,,
Flat INR 500 Instant Discount on HDFC Bank Credit Card 6 month and above EMI Trxn. Min purchase value INR 7500,"Offer period: 1 Feb28 Feb 2026. Flat instant discount on HDFC Bank Credit Card EMI (6 months+) on eligible categories, minimum transaction 7,500; maximum total discount per card up to 5,250 during offer period. Not valid on COD, NetBanking, or if Amazon Pay Balance is used for part payment.",,,amazon.in,Tata Neu Plus HDFC Bank Credit Card,,,,
Flat INR 500 Instant Discount on HDFC Bank Credit Card 6 month and above EMI Trxn. Min purchase value INR 7500,"Offer period: 1 Feb28 Feb 2026. Flat instant discount on HDFC Bank Credit Card EMI (6 months+) on eligible categories, minimum transaction 7,500; maximum total discount per card up to 5,250 during offer period. Not valid on COD, NetBanking, or if Amazon Pay Balance is used for part payment.",,,amazon.in,Intermiles HDFC Bank Diners Club Credit Card,,,,
Flat INR 500 Instant Discount on HDFC Bank Credit Card 6 month and above EMI Trxn. Min purchase value INR 7500,"Offer period: 1 Feb28 Feb 2026. Flat instant discount on HDFC Bank Credit Card EMI (6 months+) on eligible categories, minimum transaction 7,500; maximum total discount per card up to 5,250 during offer period. Not valid on COD, NetBanking, or if Amazon Pay Balance is used for part payment.",,,amazon.in,Shoppers Stop Black HDFC Bank Credit Card,,,,
Flat INR 500 Instant Discount on HDFC Bank Credit Card 6 month and above EMI Trxn. Min purchase value INR 7500,"Offer period: 1 Feb28 Feb 2026. Flat instant discount on HDFC Bank Credit Card EMI (6 months+) on eligible categories, minimum transaction 7,500; maximum total discount per card up to 5,250 during offer period. Not valid on COD, NetBanking, or if Amazon Pay Balance is used for part payment.",,,amazon.in,Tata Neu Plus HDFC Bank RuPay Credit Card,,,,
