Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Get 5% Cashback in JioMart Wallet on using Reliance SBI Co-Branded Credit Card,Get 5% Cashback in JioMart Wallet on using Reliance SBI Co-Branded Credit Card.,,https://www.jiomart.com/images/cms/offers/1725135573_910_x_380.jpg,https://www.jiomart.com/offers/get-5-cashback-in-jiomart-wallet-on-using-reliance-sbi-co-branded-credit-card,Reliance SBI Co-Branded Credit Card,,,,YES
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,MakeMyTrip ICICI Bank Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,ICICI Bank HPCL Super Saver Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,ICICI Bank HPCL Super Saver RuPay Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,Amazon Pay ICICI Bank Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,ICICI Bank Sapphiro Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,ICICI Parakram Select Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,Emirates Skywards ICICI Bank Emerald Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,Accelero ICICI Bank Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,ICICI HPCL Coral Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,MakeMyTrip ICICI Bank Platinum Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,Makemytrip ICICI Bank Signature Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,ICICI Bank Manchester United Platinum Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,ICICI Parakram Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,ICICI Bank Expressions Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,Emirates Skywards Rubyx Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,Adani One ICICI Platinum Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,Adani One ICICI Signature Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,ICICI Bank Emeralde Credit Card,,,,
Rs.1000 Instant discount on ICICI cards*,Rs.1000 Instant discount on ICICI cards*.,,https://www.jiomart.com/images/cms/offers/1691130074_910x380.jpg,https://www.jiomart.com/offers/oneplus-offer-rs1000-instant-discount-on-icici-cards,ICICI Bank Instant Platinum Credit Card,,,,
